Id,squarefootage,Bathroom,Bedroom,SalePrice
149,1080,1,3,141000
150,896,1,3,115000
151,969,1,3,122000
152,1710,2,2,372402
153,1097,2,4,190000
154,1252,1,1,235000
155,1200,1,4,125000
156,572,1,2,79000
157,1040,1,2,109500
158,774,2,4,269500
159,991,2,3,254900
160,1392,2,4,320000
161,1232,2,3,162500
162,1572,2,3,412500
163,1541,2,3,220000
164,882,1,1,103200
165,1149,2,3,152000
166,808,2,4,127500
167,1867,1,2,190000
168,1610,1,3,325624
169,840,2,3,183500
170,1707,2,2,228000
171,854,1,2,128500
172,1656,1,3,215000
173,1064,2,2,239000
174,1362,1,3,163000
175,1651,2,3,184000
176,2158,2,4,243000
177,1164,2,4,211000
178,1252,2,4,172500
179,2234,2,1,501837
180,968,1,2,100000
181,769,2,3,177000
182,901,1,4,200100
183,1340,1,3,120000
184,1362,2,3,200000
185,936,1,3,127000
186,1518,2,4,475000
187,1217,2,3,173000
188,808,2,3,135000
189,1224,0,2,153337
190,1593,1,0,286000
191,1549,2,3,315000
192,725,1,4,184000
193,1431,2,3,192000
194,970,2,3,130000
195,864,1,3,127000
196,855,2,3,148500
197,1726,2,3,311872
198,1360,2,4,235000
199,929,1,5,104000
200,1713,2,3,274900
201,1121,2,2,140000
202,1279,2,3,171500
203,865,2,2,112000
204,848,1,1,149000
205,720,1,2,110000
206,1442,2,3,180500
207,1696,1,3,143900
208,1100,1,3,141000
209,1180,2,3,277000
210,1092,1,3,145000
211,864,1,2,98000
212,1212,2,3,186000
213,932,2,3,252678
214,990,1,3,156000
215,689,1,3,161750
216,1236,1,2,134450
217,1436,2,3,210000
218,810,1,3,107000
219,1137,1,3,311500
220,1248,2,2,167240
221,1498,2,2,204900
222,1010,2,4,200000
223,811,2,3,179900
224,864,1,2,97000
225,2392,2,3,386250
226,630,2,3,112000
227,1214,2,4,290000
228,483,1,2,106000
229,912,1,3,125000
230,1555,2,2,192500
231,1194,1,3,148000
232,1490,2,4,403000
233,483,1,2,94500
234,894,1,3,128200
235,860,2,4,216500
236,483,1,2,89500
237,1414,2,3,185500
238,1014,2,3,194500
239,1694,2,3,318000
240,798,1,3,113000
241,1566,2,3,262500
242,866,1,2,110500
243,889,1,3,79000
244,626,1,3,120000
245,1222,2,3,205000
246,1872,2,3,241500
247,908,2,4,137000
248,1375,1,2,140000
249,840,2,3,180000
250,1444,2,4,277000
251,1306,1,3,76500
252,1625,2,2,235000
253,798,2,3,173000
254,1302,2,3,158000
255,1314,1,3,145000
256,1005,2,4,230000
257,864,2,3,207500
258,1604,2,3,220000
259,963,2,3,231500
260,882,1,2,97000
261,1382,1,3,176000
262,1482,2,3,276000
263,1212,1,3,151000
264,926,1,3,130000
265,764,1,2,73000
266,1422,2,3,175500
267,802,2,3,185000
268,1052,2,4,179500
269,778,1,2,120500
270,1113,1,3,148000
271,1095,2,3,266000
272,1363,1,2,241500
273,1164,2,4,290000
274,1632,2,3,139000
275,816,1,2,124500
276,952,2,3,205000
277,1560,2,3,201000
278,864,1,2,141000
279,2121,2,3,415298
280,1156,2,4,192000
281,1175,2,3,228500
282,1262,2,2,185000
283,1314,2,2,207500
284,1468,2,3,244600
285,1575,2,2,179200
286,625,2,2,164700
287,1085,1,3,159000
288,858,1,3,88000
289,900,1,3,122000
290,698,1,3,153575
291,1079,2,3,233230
292,936,2,6,135900
293,1148,1,3,131000
294,1468,2,3,235000
295,1644,1,3,167000
296,1003,1,3,142500
297,910,1,4,152000
298,975,2,3,239000
299,1041,1,3,175000
300,1152,1,3,158500
301,1336,1,2,157000
302,1210,2,4,267000
303,1541,2,3,205000
304,894,1,3,149900
305,1675,3,3,295000
306,2000,2,3,305900
307,1122,2,4,225000
308,1035,1,3,89500
309,861,1,1,82500
310,1944,2,3,360000
311,697,2,3,165600
312,972,1,2,132000
313,793,1,3,119900
314,2036,2,3,375000
315,832,1,3,178000
316,716,2,3,188500
317,1153,2,4,260000
318,1088,2,3,270000
319,1372,2,4,260000
320,1472,2,3,187500
321,1249,3,4,342643
322,1136,2,4,354000
323,1553,2,4,301000
324,1163,1,3,126175
325,1898,2,5,242000
326,803,1,2,87000
327,1719,1,1,324000
328,1383,1,3,145250
329,1445,2,5,214500
330,596,1,3,78000
331,1728,2,6,119000
332,1056,1,3,139000
333,1629,2,3,284000
334,1358,2,2,207000
335,943,2,3,192000
336,1619,2,3,228950
337,1922,2,3,377426
338,1536,2,3,214000
339,1621,2,3,202500
340,1215,1,3,155000
341,993,2,4,202900
342,841,1,2,82000
343,1040,2,2,87500
344,1684,2,2,266000
345,536,1,3,85000
346,972,1,3,140200
347,958,1,2,151500
348,1478,2,3,157500
349,764,2,2,154000
350,1848,2,4,437154
351,1869,2,2,318061
352,1453,1,2,190000
353,616,1,3,95000
354,720,1,2,105900
355,1192,1,2,140000
356,1200,2,3,177500
357,1167,2,3,173000
358,1142,1,3,134000
359,1352,1,3,130000
360,1086,2,3,280000
361,912,1,2,156000
362,988,1,3,145000
363,495,3,4,198500
364,483,1,2,118000
365,790,2,3,190000
366,672,1,3,147000
367,1394,1,3,159000
368,1431,1,3,165000
369,1268,1,2,132000
370,1287,1,3,162000
371,953,2,3,172400
372,1120,2,4,134432
373,752,1,2,125000
374,1319,1,3,123000
375,847,2,4,219500
376,904,0,1,61000
377,914,1,2,148000
378,1580,3,4,340000
379,1856,1,1,394432
380,1007,2,3,179000
381,1026,2,3,127000
382,1301,2,2,187750
383,939,2,3,213500
384,784,1,2,76000
385,1079,2,3,240000
386,1269,2,2,192000
387,658,1,5,81000
388,1125,1,3,125000
389,1479,2,3,191000
390,1742,2,3,426000
391,961,1,4,119000
392,804,2,3,215000
393,882,1,3,106500
394,788,1,2,100000
395,735,1,2,109000
396,1144,1,3,129000
397,894,1,2,123000
398,876,2,4,169500
399,1077,1,2,67000
400,1112,2,2,241000
401,1288,1,1,245500
402,1310,2,3,164990
403,672,1,2,108000
404,1165,2,4,258000
405,806,2,3,168000
406,1620,2,3,150000
407,1166,1,3,115000
408,840,2,4,177000
409,1071,2,3,280000
410,1050,2,3,339750
411,1276,1,3,60000
412,1056,1,3,145000
413,1478,2,2,222000
414,1028,1,2,115000
415,1080,2,3,228000
416,1340,2,3,181134
417,672,1,3,149500
418,1370,2,4,239000
419,756,1,3,126000
420,1056,1,3,142000
421,1344,2,2,206300
422,1602,2,3,215000
423,988,1,2,113000
424,1470,2,4,315000
425,1196,1,2,139000
426,707,1,3,135000
427,1644,2,2,275000
428,907,1,3,109008
429,1208,2,2,195400
430,1412,2,3,175000
431,483,1,2,85400
432,1088,1,4,79900
433,765,1,2,122500
434,926,2,3,181000
435,630,1,1,81000
436,827,2,3,212000
437,734,1,2,116000
438,904,1,2,119000
439,694,1,2,90350
440,684,1,3,110000
441,2402,2,2,555000
442,1440,2,4,118000
443,1128,2,3,162900
444,1258,2,2,172500
445,933,2,4,210000
446,1689,1,3,127500
447,1888,2,2,190000
448,956,2,4,199900
449,780,2,3,119500
450,679,1,2,120000
451,813,1,2,110000
452,1533,2,2,280000
453,888,2,3,204000
454,786,2,3,210000
455,1728,2,4,188000
456,1242,1,3,175500
457,624,1,4,98000
458,1663,1,2,256000
459,833,1,3,161000
460,979,1,3,110000
461,832,2,3,263435
462,575,1,3,155000
463,864,1,3,62383
464,849,1,3,188700
465,1040,2,3,124000
466,1414,2,2,178740
467,1277,1,2,167000
468,888,1,3,146500
469,1634,2,3,250000
470,832,2,3,187000
471,1502,1,1,212000
472,1161,2,3,190000
473,1072,1,2,148000
474,1976,2,2,440000
475,1652,2,2,251000
476,970,1,2,132500
477,1493,2,3,208900
478,2069,2,3,380000
479,1718,2,3,297000
480,1131,1,2,89471
481,1850,2,3,326000
482,1792,2,2,374000
483,916,1,4,155000
484,1216,2,2,164000
485,999,1,3,132500
486,1113,1,3,147000
487,1073,1,3,156000
488,1484,2,3,175000
489,1766,2,3,160000
490,630,1,1,86000
491,616,1,3,115000
492,958,1,3,133000
493,728,2,3,172785
494,1269,1,3,155000
495,886,1,2,91300
496,720,1,2,34900
497,3228,3,4,430000
498,1133,2,4,184000
499,899,1,3,130000
500,912,1,2,120000
501,672,1,3,113000
502,866,2,3,226700
503,1214,1,2,140000
504,1801,2,1,289000
505,855,2,3,147000
506,960,2,4,124500
507,1065,2,3,215000
508,1218,2,2,208300
509,689,2,3,161000
510,1041,1,3,124500
511,1363,1,2,164900
512,1368,2,2,202665
513,864,1,3,129900
514,1080,1,3,134000
515,789,1,2,96500
516,2020,2,3,402861
517,1378,2,3,158000
518,1277,2,3,265000
519,882,2,3,211000
520,1276,1,3,234000
521,694,2,3,106250
522,1244,1,3,150000
523,1004,2,3,159000
524,3138,3,3,184750
525,1383,2,3,315750
526,1266,2,3,176000
527,928,1,2,132000
528,1476,2,3,446261
529,605,1,2,86000
530,2515,3,4,200624
531,1509,2,3,175000
532,751,2,3,128000
533,827,1,2,107500
534,334,1,1,39300
535,707,2,3,178000
536,820,1,3,107500
537,880,2,3,188000
538,864,1,3,111250
539,1159,1,3,158000
540,1601,2,3,272000
541,1838,2,2,315000
542,997,2,4,248000
543,1680,2,3,213250
544,767,1,1,133000
545,664,2,3,179665
546,1377,2,4,229000
547,915,1,3,210000
548,768,1,2,129500
549,825,1,2,125000
550,912,2,4,263000
551,1069,2,2,140000
552,928,1,3,112500
553,1717,2,3,255500
554,1126,2,2,108000
555,1006,2,3,284000
556,1048,1,2,113000
557,1092,1,2,141000
558,897,1,3,108000
559,729,2,3,175000
560,1557,2,2,234000
561,1392,1,3,121500
562,1389,1,2,170000
563,996,1,3,108000
564,1163,2,4,185000
565,1166,2,4,268000
566,841,1,4,128000
567,1134,2,4,325000
568,1535,2,3,214000
569,1496,1,1,316600
570,943,1,2,135960
571,1728,2,6,142600
572,864,1,2,120000
573,846,2,3,224500
574,774,2,3,170000
575,576,1,3,139000
576,832,1,2,118500
577,877,2,3,145000
578,1320,1,3,164500
579,703,2,2,146000
580,1050,2,4,131500
581,1429,1,3,181900
582,2042,2,3,253293
583,816,1,3,118500
584,1521,3,3,325000
585,989,1,3,133000
586,2028,2,2,369900
587,838,1,2,130000
588,860,1,2,137000
589,1473,1,1,143000
590,779,1,2,79500
591,770,2,3,185900
592,1728,2,3,451950
593,816,1,2,138000
594,848,1,1,140000
595,924,1,3,110000
596,1826,2,3,319000
597,684,1,3,114504
598,1402,0,2,194201
599,1647,2,3,217500
600,716,2,3,151000
601,1058,2,3,275000
602,780,1,3,141000
603,927,2,3,220000
604,600,2,2,151000
605,1494,2,3,221000
606,1186,2,3,205000
607,1040,1,3,152000
608,1112,3,3,225000
609,1940,2,4,359100
610,1029,1,3,118500
611,1476,2,3,313000
612,1032,2,3,148000
613,1299,2,3,261500
614,1120,1,3,147000
615,630,1,1,75500
616,1054,1,3,137500
617,807,2,3,183200
618,832,1,2,105500
619,1828,2,3,314813
620,1482,2,4,305000
621,864,1,2,67000
622,1548,2,4,240000
623,980,1,3,135000
624,756,2,2,168500
625,1012,1,4,165150
626,1116,1,3,160000
627,1422,1,3,139900
628,1520,1,3,153000
629,1040,1,5,135000
630,1350,1,3,168500
631,1089,1,3,124000
632,1554,2,2,209500
633,1411,2,3,82500
634,1056,1,3,139400
635,1056,0,0,144000
636,1440,2,8,200000
637,800,1,1,60000
638,811,2,3,93000
639,796,1,2,85000
640,1567,2,1,264561
641,1518,1,1,274000
642,1057,2,3,226000
643,2000,2,4,345000
644,780,2,4,152000
645,1766,2,2,370878
646,981,1,3,143250
647,1048,1,3,98300
648,1094,1,3,155000
649,1051,1,4,155000
650,630,1,1,84500
651,822,2,3,205950
652,755,1,4,108000
653,909,2,2,191000
654,756,1,3,135000
655,2113,2,2,350000
656,525,1,3,88000
657,1053,1,3,145500
658,851,1,3,149000
659,912,1,3,97500
660,1486,1,3,167000
661,1142,2,3,197900
662,1686,2,4,402000
663,1392,1,2,110000
664,1181,2,3,137500
665,2097,1,1,423000
666,1454,2,3,230500
667,1465,2,3,129000
668,1679,2,3,193500
669,1437,1,3,168000
670,1180,1,2,137500
671,738,2,3,173500
672,697,2,3,103600
673,1208,1,3,165000
674,1839,2,3,257500
675,1136,1,3,140000
676,855,2,3,148500
677,1095,2,4,87000
678,792,1,2,109500
679,2046,2,3,372500
680,988,1,3,128500
681,923,2,2,143000
682,848,1,3,159434
683,1291,1,2,173000
684,1668,2,3,285000
685,1195,2,4,221000
686,1190,2,3,207500
687,874,3,3,227875
688,551,2,2,148800
689,1419,2,2,392000
690,1362,2,2,194700
691,848,1,1,141000
692,2444,3,4,755000
693,1238,2,4,335000
694,1073,1,2,108480
695,1067,1,3,141500
696,1137,2,2,176000
697,616,1,2,89000
698,1148,1,2,123500
699,894,1,3,138500
700,1391,2,2,196000
701,1800,2,3,312500
702,1164,1,3,140000
703,1264,2,4,361919
704,1032,2,4,140000
705,1484,2,3,213000
706,372,2,3,55000
707,1824,2,2,302000
708,1324,2,2,254000
709,728,2,3,179540
710,904,1,3,109900
711,729,1,2,52000
712,859,1,2,102776
713,1228,2,2,189000
714,960,1,3,129000
715,725,2,3,130500
716,1350,2,3,165000
717,1576,1,3,159500
718,1178,1,3,157000
719,1325,2,3,341000
720,971,1,3,128500
721,1742,2,2,275000
722,848,1,1,143000
723,864,1,3,124500
724,997,2,4,135000
725,1698,2,3,320000
726,864,1,3,120500
727,1680,2,3,222000
728,1232,2,2,194500
729,1776,2,4,110000
730,848,1,2,103000
731,1616,2,2,236500
732,1146,2,3,187500
733,1153,2,3,222500
734,1144,1,3,131400
735,948,1,3,108000
736,880,1,2,163000
737,1040,2,2,93500
738,901,2,3,239900
739,1200,3,3,179000
740,864,2,3,190000
741,768,2,2,132000
742,912,1,3,142000
743,1349,2,3,179000
744,1464,2,3,175000
745,1337,2,2,180000
746,1175,3,4,299800
747,980,2,4,236000
748,1320,1,4,265979
749,1720,2,3,260400
750,1088,2,4,98000
751,792,1,3,96500
752,660,2,3,162000
753,1494,2,3,217000
754,1038,2,3,275500
755,1026,1,3,156000
756,742,2,3,172500
757,866,2,3,212000
758,672,2,3,158900
759,757,2,3,179400
760,1328,2,4,290000
761,864,1,2,127500
762,1301,1,2,100000
763,764,2,3,215200
764,1268,2,3,337000
765,1494,1,2,270000
766,1506,2,2,264132
767,980,2,3,196500
768,983,2,4,160000
769,1836,2,3,216837
770,1690,3,4,538000
771,858,1,2,134900
772,1220,1,2,102000
773,1117,1,3,107000
774,912,1,2,114500
775,1973,2,3,395000
776,1204,2,2,162000
777,1614,2,3,221500
778,894,1,3,142500
779,2020,2,4,144000
780,1004,1,2,135000
781,1253,2,3,176000
782,810,2,3,175900
783,1430,2,3,187100
784,1110,1,1,165500
785,742,2,3,128000
786,1342,2,3,161500
787,966,2,4,139000
788,956,2,4,233000
789,901,1,2,107900
790,976,2,5,187500
791,1145,2,2,160200
792,1062,1,3,146800
793,1127,2,3,269790
794,1496,2,3,225000
795,1086,2,3,194500
796,888,2,3,171000
797,1285,1,3,143500
798,773,1,2,110000
799,1966,3,4,485000
800,981,1,3,175000
801,616,2,4,200000
802,1196,1,2,109900
803,728,2,3,189000
804,1734,3,4,582933
805,1128,1,2,118000
806,1428,2,3,227680
807,980,2,3,135500
808,1072,1,3,223500
809,1086,1,3,159950
810,1075,2,2,106000
811,1309,1,3,181000
812,848,1,1,144500
813,1044,1,2,55993
814,1442,1,4,157900
815,686,1,3,116000
816,1661,2,3,224900
817,1008,1,2,137000
818,1689,2,3,271000
819,1052,1,3,155000
820,1358,2,2,224000
821,798,2,3,183000
822,936,1,2,93000
823,847,2,3,225000
824,944,2,3,139500
825,1489,2,3,232600
826,2084,2,2,385000
827,784,1,2,109500
828,1434,2,3,189000
829,1160,2,3,185000
830,520,2,2,147400
831,1392,1,3,166000
832,520,2,2,151000
833,941,2,3,237000
834,1516,1,3,167000
835,1144,1,3,139950
836,1067,2,2,128000
837,1559,1,2,153500
838,483,1,2,100000
839,1099,1,3,144000
840,768,1,3,130500
841,810,2,4,140000
842,958,2,3,157500
843,1165,1,3,174900
844,1800,2,6,141000
845,876,1,4,153900
846,1701,2,3,171000
847,1006,2,3,213000
848,864,1,3,133500
849,1307,3,5,240000
850,1094,2,3,187000
851,848,1,1,131500
852,1456,2,2,215000
853,918,2,4,164000
854,1445,1,3,158000
855,1779,1,3,170000
856,1040,1,3,127000
857,1026,1,3,147000
858,702,2,3,174000
859,1370,2,3,152000
860,1512,2,4,250000
861,912,1,3,189950
862,1039,1,3,131500
863,1097,2,3,152000
864,1148,1,3,132500
865,1372,2,3,250580
866,1002,1,3,148500
867,1646,2,3,248900
868,1120,1,3,129000
869,1547,2,2,169000
870,1062,2,3,236000
871,894,1,2,109500
872,804,2,3,200500
873,910,1,3,116000
874,1036,1,3,133000
875,676,1,3,66500
876,1184,2,4,303477
877,1040,1,3,132250
878,1462,2,4,350000
879,1155,1,3,148000
880,864,1,3,136500
881,1090,1,2,157000
882,1187,2,3,187500
883,808,2,3,178000
884,954,1,5,118500
885,892,1,3,100000
886,1709,2,2,328900
887,1712,2,4,145000
888,872,1,3,135500
889,2217,2,4,268000
890,1505,1,2,149500
891,672,1,3,122900
892,918,2,3,172500
893,1068,1,3,154500
894,1383,1,3,165000
895,1535,2,4,118858
896,983,1,4,140000
897,951,1,2,106500
898,1120,2,6,142953
899,2364,2,2,611657
900,1236,1,3,135000
901,858,1,2,110000
902,1306,1,2,153000
903,807,2,3,180000
904,1670,2,3,240000
905,902,1,3,125500
906,1063,1,3,128000
907,1636,2,3,255000
908,1020,1,3,250000
909,902,1,2,131000
910,742,2,3,174000
911,1105,2,5,154300
912,1268,1,3,143500
913,1015,1,3,88000
914,1001,2,4,145000
915,612,2,2,173733
916,546,1,3,75000
917,480,0,1,35311
918,1229,1,3,135000
919,912,2,4,238000
920,1414,1,3,176500
921,936,2,3,201000
922,1272,2,4,145900
923,1316,2,3,169990
924,1617,2,2,193000
925,1686,2,3,207500
926,1126,2,3,175000
927,1234,2,4,285000
928,1098,2,4,176000
929,1788,2,3,236500
930,993,2,4,222000
931,1466,2,3,201000
932,925,1,2,117500
933,1905,2,3,320000
934,1500,2,3,190000
935,2069,2,4,242000
936,747,1,1,79900
937,1200,2,2,184900
938,1113,2,3,253000
939,1391,2,3,239799
940,1207,2,4,244400
941,1728,2,4,150900
942,1022,2,3,214000
943,1440,2,4,150000
944,1632,2,4,143000
945,1344,1,3,137500
946,1188,1,2,124900
947,1144,1,3,143000
948,1629,2,3,270000
949,936,2,3,192500
950,1381,1,3,197500
951,864,1,3,129000
952,965,1,3,119900
953,768,1,2,133900
954,1168,2,4,172000
955,980,2,4,127500
956,979,2,4,145000
957,561,1,2,124000
958,1057,1,3,132000
959,1337,2,3,185000
960,696,2,3,155000
961,858,1,2,116500
962,1542,2,4,272000
963,804,2,3,155000
964,1800,2,2,239000
965,824,2,4,214900
966,783,2,3,178900
967,976,1,2,160000
968,1098,1,3,135000
969,600,1,2,37900
970,1095,1,2,140000
971,720,1,4,135000
972,764,2,2,173000
973,918,2,2,99500
974,1428,2,3,182000
975,1136,1,3,167500
976,673,2,3,165000
977,869,1,2,85500
978,1241,1,1,199900
979,894,1,3,110000
980,1121,1,3,139000
981,999,1,3,178400
982,1276,2,4,336000
983,1266,2,2,159895
984,1149,2,4,255900
985,1302,2,4,126000
986,1164,1,3,125000
987,1001,1,2,117000
988,1940,2,3,395192
989,1118,2,4,195000
990,778,2,3,197000
991,1407,2,3,348000
992,916,1,4,168000
993,1020,2,3,187000
994,750,2,3,173900
995,1718,2,3,337500
996,774,1,3,121600
997,1050,1,3,136500
998,1442,2,2,185000
999,1077,1,3,91000
1000,1208,2,2,206000
1001,944,1,2,82000
1002,691,1,2,86000
1003,1574,2,3,232000
1004,1680,2,4,136905
1005,1504,2,1,181000
1006,985,2,3,149900
1007,1657,2,3,163500
1008,546,1,3,88000
1009,1710,2,3,240000
1010,1008,2,4,102000
1011,720,2,4,135000
1012,1664,2,4,100000
1013,900,1,3,165000
1014,1022,1,2,85000
1015,1082,1,2,119200
1016,810,2,3,227000
1017,1504,2,3,203000
1018,1360,1,1,187500
1019,802,2,3,160000
1020,1506,2,2,213490
1021,1132,1,2,176000
1022,1220,2,2,194000
1023,912,1,2,87000
1024,1504,2,2,191000
1025,2898,2,2,287000
1026,882,1,3,112500
1027,1264,1,3,167500
1028,1646,2,3,293077
1029,968,1,3,105000
1030,672,1,3,118000
1031,948,2,5,160000
1032,1687,2,5,197000
1033,1352,2,5,310000
1034,1654,2,3,230000
1035,954,1,2,119750
1036,845,1,3,84000
1037,1620,2,2,315500
1038,1055,2,3,287000
1039,798,1,3,97000
1040,630,1,1,80000
1041,1803,2,3,155000
1042,800,1,4,173000
1043,1306,2,1,196000
1044,1532,2,4,262280
1045,2524,2,4,278000
1046,1733,2,4,139600
1047,1992,3,4,556581
1048,990,1,3,145000
1049,1771,1,3,115000
1050,930,1,2,84900
1051,1302,2,3,176485
1052,1316,2,3,200141
1053,1127,1,4,165000
1054,1526,1,4,144500
1055,1091,2,3,255000
1056,1523,2,3,180000
1057,1364,2,2,185850
1058,979,2,3,248000
1059,1130,2,3,335000
1060,1096,1,3,220000
1061,1338,2,2,213500
1062,894,1,2,81000
1063,1422,2,5,90000
1064,1103,1,2,110500
1065,1154,1,3,154000
1066,1306,2,3,328000
1067,799,2,3,178000
1068,798,1,4,167900
1069,1291,2,5,151400
1070,893,1,2,135000
1071,1048,1,3,135000
1072,829,1,4,154000
1073,1002,1,4,91500
1074,698,1,3,159500
1075,1240,2,2,194000
1076,960,1,3,219500
1077,1096,2,3,170000
1078,1096,1,3,138800
1079,848,1,1,155900
1080,990,1,3,126000
1081,1258,2,3,145000
1082,1040,1,3,133000
1083,1459,2,3,192000
1084,1251,1,3,160000
1085,691,2,3,187500
1086,996,1,2,147000
1087,546,1,3,83500
1088,1082,2,3,252000
1089,970,2,3,137500
1090,1247,1,1,197000
1091,1040,2,2,92900
1092,624,2,2,160000
1093,1390,2,4,136500
1094,1200,1,1,146000
1095,936,1,2,129000
1096,1314,2,3,176432
1097,773,1,3,127000
1098,1088,1,2,170000
1099,757,1,3,128000
1100,1601,2,3,157000
1101,438,1,1,60000
1102,950,1,3,119500
1103,1134,1,2,135000
1104,1194,1,3,159500
1105,630,2,3,106000
1106,1500,2,3,325000
1107,1442,2,3,179900
1108,887,2,3,274725
1109,948,2,3,181000
1110,1836,2,3,280000
1111,773,2,3,188000
1112,1098,2,4,205000
1113,816,1,2,129900
1114,1008,1,2,134500
1115,833,1,2,117000
1116,1734,2,3,318000
1117,779,2,3,184100
1118,894,1,3,130000
1119,1021,1,3,140000
1120,1040,1,3,133700
1121,1012,1,2,118400
1122,1552,2,3,212900
1123,960,1,3,112000
1124,698,1,2,118000
1125,812,2,3,163900
1126,1005,1,2,115000
1127,1555,2,2,174000
1128,1530,2,3,259000
1129,847,2,4,215000
1130,936,1,2,140000
1131,1328,2,4,135000
1132,974,1,3,93500
1133,1178,2,5,117500
1134,1142,2,3,239500
1135,916,2,3,169000
1136,986,1,2,102000
1137,1032,1,3,119000
1138,780,1,2,94000
1139,1567,2,2,196000
1140,1167,1,3,144000
1141,952,1,2,139000
1142,1088,2,4,197500
1143,1466,3,4,424870
1144,1006,1,3,80000
1145,672,1,2,80000
1146,1042,1,3,149000
1147,1298,2,3,180000
1148,860,1,3,174500
1149,572,1,2,116900
1150,832,1,3,143000
1151,932,1,2,124000
1152,1466,1,3,149900
1153,1811,1,2,230000
1154,816,1,2,120500
1155,902,1,4,201800
1156,1437,2,3,218000
1157,1265,2,3,179900
1158,1314,2,2,230000
1159,1580,2,3,235128
1160,943,2,4,185000
1161,855,2,3,146000
1162,1640,1,3,224000
1163,894,1,3,129000
1164,1258,0,0,108959
1165,1432,1,2,194000
1166,1502,2,3,233170
1167,1694,2,3,245350
1168,959,2,3,173000
1169,1236,2,4,235000
1170,1831,3,4,625000
1171,1118,1,3,171000
1172,1261,1,3,163000
1173,625,2,2,171900
1174,1636,3,3,200500
1175,1170,2,4,239000
1176,2129,2,4,285000
1177,923,1,3,119500
1178,818,1,3,115000
1179,820,1,3,154900
1180,1124,1,3,93000
1181,1298,2,4,250000
1182,1652,2,2,392500
1183,2411,3,4,745000
1184,1130,1,2,120000
1185,1572,1,3,186700
